trip_id,arrival_time,departure_time,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:09:00,06:09:00,,,IDFM:22244,20,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:11:00,06:11:00,,,IDFM:463212,21,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:13:00,06:13:00,,,IDFM:462976,22,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:15:00,06:15:00,,,IDFM:22241,23,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:17:00,06:17:00,,,IDFM:463126,24,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_2,06:19:00,06:19:00,,,IDFM:463302,25,1,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:03:00,06:03:00,,,IDFM:22237,0,0,1,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:05:00,06:05:00,,,IDFM:463214,1,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:06:00,06:06:00,,,IDFM:463213,2,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:08:00,06:08:00,,,IDFM:463260,3,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:10:00,06:10:00,,,IDFM:463085,4,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:11:00,06:11:00,,,IDFM:22222,5,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:12:00,06:12:00,,,IDFM:22230,6,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:14:00,06:14:00,,,IDFM:22157,7,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:15:00,06:15:00,,,IDFM:22229,8,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:16:00,06:16:00,,,IDFM:22217,9,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:18:00,06:18:00,,,IDFM:22226,10,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:19:00,06:19:00,,,IDFM:463198,11,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:21:00,06:21:00,,,IDFM:22093,12,0,0,,,1,,
