"N23";"[]";"Romainville - Carnot";"05:37"
"N23";"[]";"Romainville - Carnot";"05:39"
"N23";"[]";"Romainville - Carnot";"05:42"
"N23";"[]";"Romainville - Carnot";"05:44"
"N23";"[]";"Romainville - Carnot";"05:52"
"N23";"[]";"Romainville - Carnot";"05:58"
"N23";"[]";"Romainville - Carnot";"06:01"
"N23";"[]";"Romainville - Carnot";"06:02"
"N23";"[]";"Romainville - Carnot";"06:04"
"N23";"[]";"Romainville - Carnot";"06:10"
"N23";"[]";"Romainville - Carnot";"06:14"
"N23";"[]";"Romainville - Carnot";"06:16"
"N23";"[]";"Romainville - Carnot";"06:19"
"N23";"[]";"Romainville - Carnot";"06:24"
"N23";"[]";"Romainville - Carnot";"06:30"
"N23";"[]";"Romainville - Carnot";"06:31"
"N23";"[]";"Romainville - Carnot";"06:33"
"N23";"[]";"Romainville - Carnot";"06:34"
"N23";"[]";"Romainville - Carnot";"06:42"
"N23";"[]";"Romainville - Carnot";"06:43"
"N23";"[]";"Romainville - Carnot";"06:44"
"N23";"[]";"Romainville - Carnot";"06:47"
"N23";"[]";"Romainville - Carnot";"06:50"
"N23";"[]";"Romainville - Carnot";"06:52"
"N23";"[]";"Romainville - Carnot";"06:54"
"N23";"[]";"Romainville - Carnot";"07:01"
"N23";"[]";"Romainville - Carnot";"07:02"
"N23";"[]";"Romainville - Carnot";"07:03"
"N23";"[]";"Romainville - Carnot";"07:04"
"N23";"[]";"Romainville - Carnot";"07:08"
"N23";"[]";"Romainville - Carnot";"07:09"
"N23";"[]";"Romainville - Carnot";"07:13"
"N23";"[]";"Romainville - Carnot";"07:15"
"N23";"[]";"Romainville - Carnot";"07:16"
"N23";"[]";"Romainville - Carnot";"07:19"
"N23";"[]";"Romainville - Carnot";"07:22"
"N23";"[]";"Romainville - Carnot";"07:25"
"N23";"[]";"Romainville - Carnot";"07:32"
"N23";"[]";"Romainville - Carnot";"07:33"
"N23";"[]";"Romainville - Carnot";"07:35"
"N23";"[]";"Romainville - Carnot";"07:38"
"N23";"[]";"Romainville - Carnot";"07:40"
"N23";"[]";"Romainville - Carnot";"07:45"
"N23";"[]";"Romainville - Carnot";"07:47"
"N23";"[]";"Romainville - Carnot";"07:48"
"N23";"[]";"Romainville - Carnot";"07:53"
